sequence,song,artist,artist_slug,album,time,notes
1,I Can't Keep Up With You,Crowded House,crowded-house,Gravity Stairs,04:02,No moving out
2,BREAK
3,Bless Yourself,Jack White,jack-white,No Name,02:30,The DJs all love Jack for this
4,After Destruction,Descartes a Kant,descartes-a-kant,After Destruction,03:44,Unstoppable
5,Give Me Back Time,Holly Golightly,holly-golightly,God Don't Like It,02:39,You don’t want Holly mad
6,BREAK
7,John Prine on the Radio,King Hannah,king-hannah,Big Swimmer,03:47,It’s a mood
8,Smile,Luna,luna,Lunapark,03:05,Had to smile
9,Richard Buckminster Fuller,Artichoke,artichoke,26 Scientists Volume One Anning - Malthus,03:33,Visions upon visions
10,BREAK
11,Heavens To Betsy,Molecular Steve,molecular-steve,Molecular Steve,03:20,Confident stride
12,Sunshine Delay,Barcelona,barcelona,Simon Basic (Expanded Edition),02:12,The benefits of staying home
13,SuperChief,Asylum Street Spankers,asylum-street-spankers,Spanks for the Memories,03:02,Railroad melody
14,Tiki Torches At Twilight,Petty Booka,petty-booka,Let's Talk Dirty In Hawaiian,04:09,Originally from David Lindley
15,BREAK
16,Haven't You Heard,Arab Strap,arab-strap,I'm totally fine with it don't give a fuck anymore,03:11,Mere gossip
17,Pale Blue Sky,Cranes,cranes,Loved,03:30,Giving five
18,Dark Dark Leaves,The Sugar Oaks,sugar-oaks,Red Grapes in the City,03:45,Sadly lost
19,La Maleta Fea,Crooked Fingers,crooked-fingers,Old Enough to Know Better: 15 Years of Merge Records,02:29,En español
20,BREAK
21,Venus In Furs,The Raveonettes,raveonettes,The Raveonettes Sing...,03:52,Originally from the Velvet Underground
