sequence,song,artist,artist_slug,album,time,notes
1,Rhinestone Cowboy,Orville Peck,orville-peck,Stampede,3:13,Feels inevitable
2,BREAK
3,"New York, Let's Do Nothing",King Hannah,king-hannah,Big Swimmer,3:22,Picking up the dry cleaning
4,Ese Vicio Delicioso,Kid Congo & The Pink Monkey Birds,kid-congo-pink-monkey-birds,That Delicious Vice,4:22,Enjoy it while you can
5,Goo Goo Muck,The Raveonettes,raveonettes,The Raveonettes Sing...,2:23,Originally from the Cramps
6,Hi!,Los Bitchos,los-bitchos,Talkie Talkie,3:09,Welcome to our disco
7,BREAK
8,Sentence I,Font,font,Strange Burden,2:45,Bring me that complicated jangle
9,Raindrops of Poison,Descartes a Kant,descartes-a-kant,After Destruction,3:26,Dramatic precipitation
10,Nitrous Burnout,Man Or Astro-man?,man-or-astro-man,'ROYGBIV (Recordings From The BBC)' ,4:01,Speed and flames
11,BREAK
12,Raw Feel,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Flight b741,4:17,All sevens and fours
13,Growing Story,Pom Poko,pom-poko,Champion,3:33,Falling into the beat
14,Lemme Try Again,JD Pinkus,jd-pinkus,Grow A Pear,2:46,With a sassy banjo
15,Kissing The Wizard,Ty Richards,ty-richards,Welcome To Flat Earth,4:12,With magical consequences
16,BREAK
17,Pixelated Moon,Thee Oh Sees & Osees,thee-oh-sees-osees,SORCS 80,2:43,Gives you the frantic
18,Boll Weevil,Islands,islands,What Occurs,2:24,Nothing to do with the Presidents
19,Freedom of '76 (2024 Remastered),Ween,ween,Chocolate and Cheese,2:51,""
20,BREAK
21,Can't Be Still,illuminati hotties,illuminati-hotties,Power,2:59,Fidgeting in the best way
22,Charles,Brainiac,brainiac,Attic Tapes,3:11,Electrojazz at its finest
23,Then Comes Dudley,The Jesus Lizard,jesus-lizard,Goat,4:23,That implacable riff
24,Down To The Well,Pixies,pixies,Demos,2:12,Live descent
25,BREAK
26,A Day in the Life,Milton Nascimento,milton-nascimento,Milton + esperanza,4:37,Originally from the Beatles
27,Dark Vacay,Cigarettes After Sex,cigarettes-after-sex,X's,3:33,You might need one
28,Gentle Samurai,Beachwood Sparks,beachwood-sparks,Across The River Of Stars,3:48,Country vibes
29,BREAK
30,Muswell Hillbilly,Southern Culture On The Skids,southern-culture-on-skids,Countrypolitan Favorites,4:43,Originally from the Kinks
31,New Amazing Buzz,Nevada Bachelors,nevada-bachelors,Hello Jupiter,3:09,Rising to the occasion
32,I've Got A Feeling,Ivy,ivy,Felicity (Music From The Hit Television Series),3:23,Sweeter than sweet tea
33,Clover Boys,Molecular Steve,molecular-steve,Molecular Steve,2:41,Triumphant sounds
34,BREAK
35,Mr. Bubbles,The Rare Occasions,rare-occasions,Mr. Bubbles,2:39,Cryogenic freezer burns
36,Somewhere Apart,Robyn Hitchcock & The Egyptians,robyn-hitchcock-egyptians,Luminous Groove,2:51,Hammering on the beat
37,M79,Vampire Weekend,vampire-weekend,Vampire Weekend,4:16,Bring in the string section
38,Every Little Thing She Does Is Magic,The Police,police,Ghost In The Machine (Remastered),4:21,Video filmed in AIR Studios
39,BREAK
40,Starburster,Fontaines D.C.,fontaines-d-c,Romance,3:41,Going nova
41,I Hear,Ty Segall,ty-segall,Three Bells,4:36,Strangling the notes
42,FOUND A BODY,Spirit of the Beehive,spirit-of-beehive,YOU’LL HAVE TO LOSE SOMETHING,3:19,Theme for a river’s edge
43,Radar 1941,Sun City Girls,sun-city-girls,Torch of the Mystics,2:41,Sliding through
44,BREAK
45,Cumbia De Jaraguá,Mestizo Beat,mestizo-beat,Jaraguá,3:05,Pardon the swagger
46,Rumba #2,Twanguero,twanguero,Panamerica,3:14,A short interlude
47,Not the Same,Italian Secret Service,italian-secret-service,Fantastic Travelling With Chill Out Cocktail Music,4:28,Ruthlessly efficient
48,BREAK
49,"Hey, Where's MY Drink Package?",The Aristocrats,aristocrats,DUCK,7:01,It’s complicated
50,It's Crazy,Lord Nap,lord-nap,Ritual,5:29,Get some Zs
51,Follow My Riddim,The Maxwell Implosion,maxwell-implosion,Small Circle of Friends,4:57,Imitation is requested
52,BREAK
53,LeGrouve,TUTUPATU,tutupatu,IV (MP3),9:35,Dub it out
