sequence,song,artist,artist_slug,album,time,notes
1,Please Don't Call On Me,Barry Adamson,barry-adamson,Cut To Black,04:54,Darkness in sound
2,BREAK
3,I'll Be There,Delicate Steve,delicate-steve,Delicate Steve Sings,03:15,Quite very breezy
4,Bluish,Animal Collective,animal-collective,Merriweather Post Pavilion,05:14,It’s about the kink
5,Watersong,Cranes,cranes,Wings of Joy,03:51,Your typical fairy waltz
6,keygen memory,Full Body 2,full-body-2,Demo 01,03:59,Using all the bandwidth
7,BREAK
8,On My Way,Mestizo Beat,mestizo-beat,Jaraguá,03:59,Cop show car chase
9,Honey,Moby,moby,"",03:29,He wants his records back
10,Lithium (Club Des Belugas Extended Mix),Maya Fadeeva,maya-fadeeva,Remixes,03:54,Originally from Nirvana
11,Monolith,Mr. Chop,mr-chop,Glass Cathedral,03:14,Southern hemispherical
12,BREAK
13,System Verse,Actress,actress,Statik,04:34,Incipient building
14,Insensible,Juana Molina,juana-molina,KCRW Sounds Eclectico,02:45,Pensive on the piano
15,Halogram,Atom™,atom,After Aua,05:31,Communications from the Lagrange points
16,Tapir Dub,Bardo Pond,bardo-pond,Melt Away,05:57,Slow melting
17,BREAK
18,Fractal Zoom,Brian Eno,brian-eno,Eno (Original Motion Picture Soundtrack),06:26,It’s neverending
19,Mokolo Likambu,KOKOKO!,kokoko,BUTU,04:54,Reverse magic
20,Lilac,Hotel Pools,hotel-pools,FiLo,02:54,Throbbing the sidechain
21,Wendorlan,Squarepusher,squarepusher,Dostrotime,06:19,Accelerating the bitcrush
22,BREAK
23,While the City Sleeps,MC 900 Foot Jesus,mc-900-foot-jesus,Decadence: 10 Years of Nettwerk 1991-1993,05:28,In flames
24,Mirage City,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Flight b741,04:48,A glorious vision
25,Disgust,A Place to Bury Strangers,a-place-to-bury-strangers,Synthesizer,04:24,Wall of sound
26,End of Line (Boys Noize Remix),Daft Punk,daft-punk,"",05:40,Discopocalypse
27,BREAK
28,The Hunting (Club Des Belugas Remix),Bajka,bajka,Remixes,04:03,Don't pause
29,1958 (Skalpel Remix),Skalpel,skalpel,"",05:01,Get your cool jerk on
30,Sahib Balkan,Buscemi,buscemi,Sahib Balkan,04:29,Dust and spice
31,BREAK
32,Nasali Nini,KOKOKO!,kokoko,BUTU,03:21,Keeping spirits at bay
