sequence,song,artist,artist_slug,album,time,notes
1,"New York, Let's Do Nothing",King Hannah,king-hannah,Big Swimmer,03:22,Picking up the dry cleaning
2,BREAK
3,Ese Vicio Delicioso,Kid Congo & The Pink Monkey Birds,kid-congo-pink-monkey-birds,That Delicious Vice,04:22,Enjoy it while you can
4,Goo Goo Muck,The Raveonettes,raveonettes,The Raveonettes Sing...,02:23,Originally from the Cramps
5,Hi!,Los Bitchos,los-bitchos,Talkie Talkie,03:09,Welcome to our disco
6,BREAK
7,Sentence I,Font,font,Strange Burden,02:45,Bring me that complicated jangle
8,Raindrops of Poison,Descartes a Kant,descartes-a-kant,After Destruction,03:26,Dramatic precipitation
9,Nitrous Burnout,Man Or Astro-man?,man-or-astro-man,'ROYGBIV (Recordings From The BBC)' ,04:01,Speed and flames
10,BREAK
11,Raw Feel,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Flight b741,04:17,All sevens and fours
12,Growing Story,Pom Poko,pom-poko,Champion,03:33,Falling into the beat
13,Lemme Try Again,JD Pinkus,jd-pinkus,Grow A Pear,02:46,With a sassy banjo
14,Kissing The Wizard,Ty Richards,ty-richards,Welcome To Flat Earth,04:12,With magical consequences
15,BREAK
16,Pixelated Moon,Thee Oh Sees & Osees,thee-oh-sees-osees,SORCS 80,02:43,Gives you the frantic
17,Boll Weevil,Islands,islands,What Occurs,02:24,Nothing to do with the Presidents
18,Freedom of '76 (2024 Remastered),Ween,ween,Chocolate and Cheese,02:51,Spreading misinformation
19,Crazy,The Blacks,blacks,"",03:07,Not that far out there
20,BREAK
21,Rhinestone Cowboy,Orville Peck,orville-peck,Stampede,03:13,Feels inevitable
