sequence,song,artist,artist_slug,album,time,notes
1,Alakazam,Boom Pam,boom-pam,Alakazam,3:57,Originally from Steve Miller Band
2,BREAK
3,Finger In Your Eye,Yacht,yacht,New Release,2:54,Quit poking
4,Take Me Away (2024 Remastered),Ween,ween,Chocolate and Cheese,3:00,In glorious remaster
5,Better Than Good,The Bug Club,bug-club,On the Intricate Inner Workings of the System,2:41,Just Ok
6,The Boy Had It All,Kid Congo & The Pink Monkey Birds,kid-congo-pink-monkey-birds,That Delicious Vice,3:24,For the completists
7,BREAK
8,Bangs,Amy Rigby,amy-rigby,Hang in There with Me,3:32,Not the TMBG song
9,You And Me,The Molochs,molochs,America’s Velvet Glory,3:09,The both of us
10,Be Mine,Cagney & Lacee,cagney-lacee,Six Feet of Chain,4:54,Originally from Martin Rev
11,BREAK
12,Wild God,Nick Cave & The Bad Seeds,nick-cave-bad-seeds,Wild God,5:19,Very progressive
13,Puzzle,Melt-Banana,melt-banana,3+5,3:02,Taking things apart
14,Strawberryfire,The Apples In Stereo,apples-in-stereo,#1 Hits Explosion,4:27,Soothing chaser
15,BREAK
16,Venetian Blinds,Fake Fruit,fake-fruit,Mucho Mistrust,4:01,Do not blink
17,Shine Away,Naked Giants,naked-giants,Shine Away,4:15,For the Pavement fans
18,The Great Divide,Ashley Park,ashley-park,The American Scene,3:37,Fair cool down
19,BREAK
20,Natalie's Song,Font,font,Strange Burden,4:46,Warbling hard
21,Discoball World,David Garza,david-garza,This Euphoria,3:40,Fierce glitter
22,Working Holiday,The Coctails,coctails,Popcorn Box,3:56,Good vibrations
23,BREAK
24,What's the Fuzz,illuminati hotties,illuminati-hotties,Power,2:31,On full blast
25,Pop Loser,Velocity Girl,velocity-girl,UltraCopacetic (Copacetic Remixed and Expanded),2:28,The catchiest time capsule
26,Dolly Shop Man,Mark Knopfler,mark-knopfler,One Deep River (Deluxe),5:09,It’s Mark
27,Sabotage,The Beastie Boys,beastie-boys,Ill Communication,2:58,Basically classical music
28,BREAK
29,Champion,Pom Poko,pom-poko,Champion,4:32,Off center
30,Monkey Trick,The Jesus Lizard,jesus-lizard,Goat,4:18,Ringing the monkey bell
31,Little Drop Of Poison,Tom Waits,tom-waits,"Orphans: Brawlers, Bawlers & Bastards",3:12,Welcome to the dirty circus
32,BREAK
33,New Bad Feeling,Personal Trainer,personal-trainer,Still Willing,3:05,Call it a premonition
34,Keep Me Warm,Ida Maria,ida-maria,Fortress 'round My Heart,3:28,Gentle moments
35,All Falls Down,Lizzy McAlpine,lizzy-mcalpine,Older,2:52,Like an AM radio in the rain
36,Rid of Me,PJ Harvey,pj-harvey,Rid of Me,4:27,On a simmer
37,BREAK
38,Le Risque,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,Flight b741,3:34,Big chunks of glam
39,SORRY PORE INJECTOR,Spirit of the Beehive,spirit-of-beehive,YOU’LL HAVE TO LOSE SOMETHING,4:52,Enter the swirlpool
40,Aqua Tofana,Duster,duster,In Dreams,2:57,Aquatic in nature
41,Saudade Dos Aviões Da Panair (Conversando No Bar),Milton Nascimento,milton-nascimento,Milton + esperanza,5:25,Going on a journey
42,BREAK
43,North Coast Megafauna,And So I Watch You From Afar,so-i-watch-you-from-afar,Megafauna,6:27,It’s rather large
44,Let Me Cook You,Los Bitchos,los-bitchos,Talkie Talkie,3:25,Use a carbon steel pan
45,Mahal,Glass Beams,glass-beams,Mahal,3:21,Silk and mystery
46,Like Coconut Water,BALTHVS,balthvs,Harvest,3:12,Worldly travels
47,BREAK
48,Floating Away,The Lemon Clocks,lemon-clocks,New Adventures,4:46,The never-ending dunes
49,The Lovers,Nine Inch Nails,nine-inch-nails,Add Violence,4:10,Fractured thinking
50,Son of Bambi,Towa Tei,towa-tei,FUTURE LISTENING!,5:15,Somewhat spicy
51,BREAK
52,Mambo Of Terror,Kerosene,kerosene,Teenage Secret,6:26,Moving at a lethal pace
