sequence,song,artist,artist_slug,album,time,notes
1,Waiting Room,Failure,failure,Silence Is A Dangerous Sound: A Tribute To Fugazi,3:20,Take a number
2,BREAK
3,Loser,Tom Maroon,tom-maroon,Flannel Dreams ,4:06,It’s about time
4,Bike,Peter & The Test Tube Babies,peter-test-tube-babies,Punk Floyd - A Tribute To Pink Floyd,2:44,A very fast bike
5,BREAK
6,Euro Trash Girl,Chicks on Speed,chicks-on-speed,Will Save Us All,4:02,Search the world over
7,Gouge Away,The Promise Ring,promise-ring,Where Is My Mind: A Tribute To The Pixies,3:00,Sharp edges and all
8,BREAK
9,You Really Got Me / Song 2,Artichoke,artichoke,Echoes From The Century Next Door,3:42,Woo hoo
10,Rock & Roll Pest Control,The Presidents of The United States of America,presidents-of-united-states-of-america,This One's for the Fellows,2:32,Nobody beats harder than Tad
11,BREAK
12,Muswell Hillbilly,Southern Culture On The Skids,southern-culture-on-skids,Countrypolitan Favorites,4:43,Their West Virginia hearts
13,Itchycoo Park,Robyn Hitchcock,robyn-hitchcock,1967,3:14,Blow your mind
14,BREAK
15,Soul Finger,Pufftube,pufftube,Emergency Peanut,2:03,Out of control
16,The Lunatics (Have Taken Over the Asylum),Beatsteaks,beatsteaks,PLEASE,3:13,Very ominous
17,BREAK
18,Take Five,Rice & Freetown,rice-freetown,"",4:03,In four!
19,The Harder They Come,Joe Jackson,joe-jackson,Classic Joe Jackson,3:54,Joe’s got soul
20,BREAK
21,Eye Of Fatima Pt 1,Eyelids,eyelids,No Jigsaw,3:04,Sliding up to the heavens
22,Photograph,Camper Van Beethoven,camper-van-beethoven,Camper Vantiquities,3:14,So many possibilities
23,That Ain't Bad,Ben Lee,ben-lee,"",1:42,Aussie candy pop
24,Jeepster,Sex Clark Five,sex-clark-five,Strum & Drum !,2:20,Crashing right into things
25,Here Comes My Baby,Tremelos,tremelos,The Very Best Of The Tremeloes,3:03,""
26,BREAK
27,Leopard-Skin Pill-Box Hat,Cat Power,cat-power,Cat Power Sings Dylan: The 1966 Royal Albert Hall Concert,3:43,The only word is snazzy
28,"Mahna, Mahna",Cake,cake,B-Sides and Rarities,2:54,Bring the snowths
29,Mango Cool,Cheo,cheo,"",3:01,What if it’s your own song?
30,DEVO Corporate Anthem,The Coctails,coctails,Popcorn Box,1:53,Straight from the employee handbook
31,BREAK
32,Rhinestone Cowboy,Orville Peck,orville-peck,Stampede,3:13,A load of compromisin’
33,People Are Strange,Brave Combo,brave-combo,Musical Varieties,1:36,Downright weird sometimes
34,Shame & Scandal,Madness,madness,The Dangermen Sessions,2:53,Un tuis!
35,Strawberry Fields Forever,ALA.NI,ala-ni,Rub-A-Dub Soul,3:38,Naturally reggae
36,BREAK
37,Why Worry,Isobel Campbell,isobel-campbell,Bow to Love,4:10,Reduce your stress level
38,Emily,Jonathan Rado,jonathan-rado,Moping In Style: A Tribute to Adam Green,2:49,Managing expectations
39,Moon River (Bonus track),Sondre Lerche,sondre-lerche,Understudy,1:47,Sparsely lit
40,The Wind Cries Mary,The Bobs,bobs,...Songs At Any Speed,4:19,Bubbles and pops
41,BREAK
42,Alakazam,Boom Pam,boom-pam,"",3:57,Incognito
43,Be Mine,Cagney & Lacee,cagney-lacee,"",4:54,The sweetest and most obscure
44,Heroes,Jeff Tweedy,jeff-tweedy,Starship Casual: Orbit One,6:02,Soaring and majestic
45,Lithium (Club des Belugas Extended Mix),Maya Fadeeva,maya-fadeeva,Strange Things Beyond the Sunny Side,3:54,Making it swing
46,BREAK
47,Caravan,"Andrew Bird, Alan Hampton & Ted Poor",andrew-bird-alan-hampton-ted-poor,Sunday Morning Put-On,4:32,Through the shifting sands
48,Sleepwalk,Los Straitjackets,los-straitjackets,¡Damas y Caballeros!,4:04,A golden haze
49,A Day in the Life,Milton Nascimento,milton-nascimento,Milton + esperanza,4:37,The birth of prog
50,BREAK
51,Only Shallow,Japancakes,japancakes,Loveless,4:49,Get the swoops
52,Set The Control To Mother Earth,Deadpeach,deadpeach,The Cosmic Haze And The Human Race,7:58,Relentless
53,Interstellar Overdrive,Chrome,chrome,Punk Floyd - A Tribute To Pink Floyd,4:30,Space travel is complicated
54,BREAK
55,Whole Lotta Love,The Moog Cookbook,moog-cookbook,Plays the Classic Rock Hits,4:20,Requiring immediate refrigeration
