sequence,song,artist,artist_slug,album,time,notes
1,Can't Be Still,illuminati hotties,illuminati-hotties,Power,02:59,Fidgeting in the best way
2,BREAK
3,Charles,Brainiac,brainiac,Attic Tapes,03:11,Electrojazz at its finest
4,Then Comes Dudley,The Jesus Lizard,jesus-lizard,Goat,04:23,That implacable riff
5,Down To The Well,Pixies,pixies,Demos,02:12,Live descent
6,BREAK
7,A Day in the Life,Milton Nascimento,milton-nascimento,Milton + esperanza,04:37,Originally from the Beatles
8,Dark Vacay,Cigarettes After Sex,cigarettes-after-sex,X's,03:33,You might need one
9,Gentle Samurai,Beachwood Sparks,beachwood-sparks,Across The River Of Stars,03:48,Country vibes
10,BREAK
11,Muswell Hillbilly,Southern Culture On The Skids,southern-culture-on-skids,Countrypolitan Favorites,04:43,Originally from the Kinks
12,New Amazing Buzz,Nevada Bachelors,nevada-bachelors,Hello Jupiter,03:09,Rising to the occasion
13,I've Got A Feeling,Ivy,ivy,Felicity (Music From The Hit Television Series),03:23,Sweeter than sweet tea
14,Clover Boys,Molecular Steve,molecular-steve,Molecular Steve,02:41,Triumphant sounds
15,BREAK
16,Mr. Bubbles,The Rare Occasions,rare-occasions,Mr. Bubbles,02:39,Cryogenic freezer burns
17,Somewhere Apart,Robyn Hitchcock & The Egyptians,robyn-hitchcock-egyptians,Luminous Groove,02:51,Hammering on the beat
18,M79,Vampire Weekend,vampire-weekend,Vampire Weekend,04:16,Bring in the string section
19,BREAK
20,Every Little Thing She Does Is Magic,The Police,police,Ghost In The Machine (Remastered),04:21,Video filmed in AIR Studios
