sequence,song,artist,artist_slug,album,time,notes
1,Let's Dance,M. Ward,m-ward,For Beginners: The Best of M. Ward,5:02,Originally from David Bowie
2,BREAK
3,Lonsdale Slipons,The Bug Club,bug-club,On the Intricate Inner Workings of the System,2:13,The comfiest
4,Alexis Feels Sick,The Jesus Lizard,jesus-lizard,Rack,4:29,Keeping count
5,Hey Kekulé,Font,font,Strange Burden,3:33,Organized mayhem
6,BREAK
7,It's A Minute,Attic Ted,attic-ted,Starfish As Man,3:29,The rickety tickety honky tonky
8,Fever For You,Michael Holland,michael-holland,Bootlegger's Dreams,3:02,Intensely personal jangle
9,Amor Platonico,Los Tucanes De Tijuana,los-tucanes-de-tijuana,Amor Platonico,3:01,So very wistful
10,A Whiter Shade Of Pale,Robyn Hitchcock,robyn-hitchcock,1967: Vacations in the Past,4:24,Straight from your living room
11,BREAK
12,I Want to Wake Up With You,The The,the-the,Ensoulment,4:00,That menacing rumble
13,Copacetic,Velocity Girl,velocity-girl,UltraCopacetic (Copacetic Remixed and Expanded),3:48,Stars and spangles
14,Pictures Of Me,Elliott Smith,elliott-smith,Either/Or: Expanded Edition,3:46,A throbbing heartbeat
15,BREAK
16,All The Money,Why Bonnie,why-bonnie,Wish On The Bone,4:01,Building up to it
17,Slippery Life,Momus,momus,Yikes!,3:49,Subtly displaced
18,Spacegirl (Shirley’s),Okay Kaya,okay-kaya,Oh My God - That's So Me,2:39,Flawless
19,Popcorn,Yo La Tengo,yo-la-tengo,Murder in the Second Degree,1:37,Quite impromptu
20,BREAK
21,Lie In the Gutter,Peel Dream Magazine,peel-dream-magazine,Rose Main Reading Room,3:40,Dreaming at great speed
22,En Forma,Hinds,hinds,Viva Hinds,3:48,Joder
23,Sleeping In,illuminati hotties,illuminati-hotties,Power,3:19,Just stay in bed
24,Heart Is A Muscle,Amy Rigby,amy-rigby,Hang in There with Me,1:33,Old school throwdown
25,BREAK
26,My Best Friend,Ty Segall,ty-segall,Three Bells,3:16,Friendship is deep
27,We’re Blowing Out (feat. Jennifer Vanilla),Yacht,yacht,New Release,3:32,Chant right along
28,Van Goes,Being Dead,being-dead,EELS,3:34,Eating up the miles
29,See It That Way,Fake Fruit,fake-fruit,Mucho Mistrust,1:50,Buckle in
30,BREAK
31,Oh Michael,Naked Giants,naked-giants,Shine Away,2:50,All about the bang bang
32,Field of Vision,King Gizzard + the Lizard Wizard,king-gizzard-lizard-wizard,Flight b741,3:35,At their glammiest
33,This Could Be All Yours,Guster,guster,Easy Wonderful,3:32,Wide wide open
34,Two Wolves,Shovels & Rope,shovels-rope,Something Is Working Up Above My Head,4:47,Transformed before your ears
35,BREAK
36,Warm Socks,Ween,ween,Chocolate and Cheese,2:42,Unmatched coziness
37,King Of The Boyfriends,Twang Bang,twang-bang,Nothing Quite As Wholesome As A Fish,3:39,There is only one
38,I'll Sink Manhattan,They Might Be Giants,they-might-be-giants,Miscellaneous T,2:33,Right under the sea
39,A Pair Of Brown Eyes,The Pogues,pogues,Rum Sodomy & The Lash (Expanded Edition),4:54,Fundamentally folk
40,BREAK
41,Plastic Future,A Place to Bury Strangers,a-place-to-bury-strangers,Synthesizer,2:45,"No brakes, no handles"
42,DUPLICATE SPOTTED,Spirit of the Beehive,spirit-of-beehive,YOU’LL HAVE TO LOSE SOMETHING,3:51,Assemble your hallucinations
43,Authority,The Mekons,mekons,The Curse of the Mekons,5:01,That swooping bass
44,India And On Down to Australia (feat. ANOHNI),Laurie Anderson,laurie-anderson,Amelia,3:51,A partial narrative
45,BREAK
46,Mango Season,BALTHVS,balthvs,Harvest,2:28,The new disco
47,La Dansa De L'Imbecil,Dusminguet,dusminguet,Postrof,4:21,So frantic
48,Inteligentactile 101 (Acoustic),Jesca Hoop,jesca-hoop,The Complete Kismet Acoustic,4:21,Stripped down
49,BREAK
50,BAD ADVICE,Cornelius,cornelius,BAD ADVICE / MIND TRAIN,4:54,Still groovy
51,Slow Motion,Panda Bear,panda-bear,Tomboy,4:36,Stuck in a frizzy loop
52,Suzy,Caravan Palace,caravan-palace,Suzy,4:05,Having a lot of fun
53,Sad Trombone,Sting & Shaggy,sting-shaggy,44/876,5:44,It’s right on the label
54,BREAK
55,Diary Of A Lost Girl,Christian Zimmerman,christian-zimmerman,Diary Of A Lost Girl,6:05,Hit the birimbau
