sequence,song,artist,artist_slug,album,time,notes
1,Finger In Your Eye,Yacht,yacht,New Release,02:54,Quit poking
2,BREAK
3,Take Me Away (2024 Remastered),Ween,ween,Chocolate and Cheese,03:00,In glorious remaster
4,Better Than Good,The Bug Club,bug-club,On the Intricate Inner Workings of the System,02:41,Just Ok
5,The Boy Had It All,Kid Congo & The Pink Monkey Birds,kid-congo-pink-monkey-birds-1,That Delicious Vice,03:24,For the completists
6,BREAK
7,Bangs,Amy Rigby,amy-rigby,Hang in There with Me,03:32,Not the TMBG song
8,You And Me,The Molochs,molochs,America’s Velvet Glory,03:09,The both of us
9,Be Mine,Cagney & Lacee,cagney-lacee,Six Feet of Chain,04:54,Originally from Martin Rev
10,BREAK
11,Wild God,Nick Cave & The Bad Seeds,nick-cave-bad-seeds,Wild God,05:19,Very progressive
12,Puzzle,Melt-Banana,melt-banana,3+5,03:02,Taking things apart
13,Strawberryfire,The Apples In Stereo,apples-in-stereo,#1 Hits Explosion,04:27,Soothing chaser
14,BREAK
15,Venetian Blinds,Fake Fruit,fake-fruit,Mucho Mistrust,04:01,Do not blink
16,Shine Away,Naked Giants,naked-giants,Shine Away,04:15,For the Pavement fans
17,The Great Divide,Ashley Park,ashley-park,The American Scene,03:37,Fair cool down
18,BREAK
19,Alakazam,Boom Pam,boom-pam,Alakazam,03:57,Originally from Steve Miller Band
