sequence,song,artist,artist_slug,album,time,notes
1,FOUND A BODY,Spirit of the Beehive,spirit-of-beehive,YOU’LL HAVE TO LOSE SOMETHING,03:19,Theme for a river’s edge
2,BREAK
3,Starburster,Fontaines D.C.,fontaines-d-c,Romance,03:41,Going nova
4,I Hear,Ty Segall,ty-segall,Three Bells,04:36,Strangling the notes
5,Radar 1941,Sun City Girls,sun-city-girls,Torch of the Mystics,02:41,Sliding through
6,Time,Arca,arca,Kick,02:46,The mechanism is precise
7,BREAK
8,Cumbia De Jaraguá,Mestizo Beat,mestizo-beat,Jaraguá,03:05,Pardon the swagger
9,Rumba #2,Twanguero,twanguero,Panamerica,03:14,A short interlude
10,Not the Same,Italian Secret Service,italian-secret-service,Fantastic Travelling With Chill Out Cocktail Music,04:28,Ruthlessly efficient
11,LeGrouve,TUTUPATU,tutupatu,IV (MP3),09:35,Dub it out
12,BREAK
13,"Hey, Where's MY Drink Package?",The Aristocrats,aristocrats,DUCK,07:01,It’s complicated
14,It's Crazy,Lord Nap,lord-nap,Ritual,05:29,Get some Zs
15,Follow My Riddim,The Maxwell Implosion,maxwell-implosion,Small Circle of Friends,04:57,Imitation is requested
16,BREAK
17,Le Risque,King Gizzard + the Lizard Wizard,king-gizzard-lizard-wizard,Flight b741,03:34,Big chunks of glam
18,SORRY PORE INJECTOR,Spirit of the Beehive,spirit-of-beehive,YOU’LL HAVE TO LOSE SOMETHING,04:52,Enter the swirlpool
19,Aqua Tofana,Duster,duster,In Dreams,02:57,Aquatic in nature
20,Saudade Dos Aviões Da Panair (Conversando No Bar),Milton Nascimento,milton-nascimento,Milton + esperanza,05:25,Going on a journey
21,BREAK
22,North Coast Megafauna,And So I Watch You From Afar,so-i-watch-you-from-afar,Megafauna,06:27,It’s rather large
23,Let Me Cook You,Los Bitchos,los-bitchos,Talkie Talkie,03:25,Use a carbon steel pan
24,Mahal,Glass Beams,glass-beams,Mahal,03:21,Silk and mystery
25,Like Coconut Water,BALTHVS,balthvs,Harvest,03:12,Worldly travels
26,BREAK
27,Floating Away,The Lemon Clocks,lemon-clocks,New Adventures,04:46,The never-ending dunes
28,The Lovers,Nine Inch Nails,nine-inch-nails,Add Violence,04:10,Fractured thinking
29,Son of Bambi,Towa Tei,towa-tei,FUTURE LISTENING!,05:15,Somewhat spicy
30,Day One (feat. Dina Ipavic),Orbital,orbital,Optical Delusion,05:16,Ripping through the jetstream
31,BREAK
32,Mambo Of Terror,Kerosene,kerosene,Teenage Secret,06:26,Moving at a lethal pace
