sequence,song,artist,artist_slug,album,time,notes
1,Champion,Pom Poko,pom-poko,Champion,04:32,Off center
2,BREAK
3,Natalie's Song,Font,font,Strange Burden,04:46,Warbling hard
4,Discoball World,David Garza,david-garza,This Euphoria,03:40,Fierce glitter
5,Working Holiday,The Coctails,coctails,Popcorn Box,03:56,Good vibrations
6,BREAK
7,What's the Fuzz,illuminati hotties,illuminati-hotties,Power,02:31,On full blast
8,Pop Loser,Velocity Girl,velocity-girl,UltraCopacetic (Copacetic Remixed and Expanded),02:28,The catchiest time capsule
9,Dolly Shop Man,Mark Knopfler,mark-knopfler,One Deep River (Deluxe),05:09,It’s Mark
10,Sabotage,Beastie Boys,beastie-boys,Ill Communication,02:58,Basically classical music
11,BREAK
12,Ballerina,Being Dead,being-dead,EELS,01:49,A complete journey
13,Monkey Trick,The Jesus Lizard,jesus-lizard,Goat,04:18,Ringing the monkey bell
14,Little Drop Of Poison,Tom Waits,tom-waits,"Orphans: Brawlers, Bawlers & Bastards",03:12,Welcome to the dirty circus
15,BREAK
16,New Bad Feeling,Personal Trainer,personal-trainer,Still Willing,03:05,Call it a premonition
17,Keep Me Warm,Ida Maria,ida-maria,Fortress 'round My Heart,03:28,Gentle moments
18,All Falls Down,Lizzy McAlpine,lizzy-mcalpine,Older,02:52,Like an AM radio in the rain
19,BREAK
20,Rid of Me,PJ Harvey,pj-harvey,Rid of Me,04:27,On a simmer
