sequence,song,artist,artist_slug,album,time,notes
1,Brian Eno,MGMT,mgmt,Congratulations,04:32,Making the Happenings
2,BREAK
3,Clint Eastwood,Gorillaz,gorillaz,Gorillaz,05:42,Something about muesli
4,D. Boon,Uncle Tupelo,uncle-tupelo,Still Feel Gone,02:32,Guitar for the Minutemen
5,Alan Bean,Hefner,hefner,Dead Media,04:05,The fourth man on the moon
6,Jackie Onassis,Human Sexual Response,human-sexual-response,Fig. 15,03:52,You had me at big sunglasses
7,BREAK
8,Paul Revere,Asylum Street Spankers,asylum-street-spankers,Mercurial,03:37,A double whammy
9,Abe Lincoln,Bishop Allen,bishop-allen,Ep Collection Vol. 2,02:47,Very fast walker
10,Dean Martin,Poor Little Fools,poor-little-fools,Play the Fools,03:10,A smooth operator
11,Frank Sinatra,Cake,cake,Fashion Nugget,04:01,That’s enough
12,BREAK
13,Meg Ryan,Self,self,Breakfast With Girls,04:00,It’s the dream
14,Peter Tripodi,Spot 1019,spot-1019,Still... Again,02:19,Self-referential
15,Vincent Van Gogh,The Squirrels,squirrels,The Squirrels,02:15,He loved color
16,BREAK
17,Carl Sagan,The Boneless Children Foundation,boneless-children-foundation,Stars For Anyone,02:08,Billions of stars
18,James K. Polk,They Might Be Giants,they-might-be-giants,Factory Showroom,03:05,More presidentialism
19,Jack Ruby,Camper Van Beethoven,camper-van-beethoven,Key Lime Pie,05:26,His hat tilted forward
20,BREAK
21,Bill Cosby,Shibboleth,shibboleth,Experiment In Error,03:17,Different times
