date,location,start_time,end_time,time_zone,notes,future
2020-09-22,mixcloud,6pm,12m,MDT,,x
2020-09-08,kafm,9pm,12m,MDT,,x
2020-08-24,mixcloud,6pm,12m,MDT,,
2020-08-11,kafm,9pm,12m,MDT,,
2020-07-14,kafm,9pm,12m,MDT,,
2020-06-16,kafm,9pm,12m,MDT,,
2020-06-02,kafm,9pm,12m,MDT,,
2020-05-19,kafm,9pm,12m,MDT,,
2020-05-05,kafm,9pm,12m,MDT,,
2020-03-17,kafm,9pm,12m,MDT,,
2020-03-03,kafm,9pm,12m,MDT,,
2020-02-18,kafm,9pm,12m,MDT,,
2020-02-04,kafm,9pm,12m,MDT,,
2020-01-21,kafm,9pm,12m,MDT,,
2020-01-07,kafm,9pm,12m,MDT,,
2019-12-31,kafm,9pm,12m,MDT,,
2019-12-24,kafm,9pm,12m,MDT,,
2019-12-17,kafm,9pm,12m,MDT,,
2019-12-10,kafm,9pm,12m,MDT,,
2019-12-03,kafm,9pm,12m,MDT,,
2019-11-26,kafm,9pm,12m,MDT,,
2019-11-19,kafm,9pm,12m,MDT,,
2019-11-12,kafm,9pm,12m,MDT,Out of town,
2019-11-05,kafm,9pm,12m,MDT,Out of town ... Guest Host: Kelsey,
2019-10-29,kafm,9pm,12m,MDT,,
2019-10-22,kafm,9pm,12m,MDT,,
2019-10-15,kafm,9pm,12m,MDT,Fall member drive!,
2019-10-08,kafm,9pm,12m,MDT,,
2019-10-01,kafm,9pm,12m,MDT,,
2019-09-24,kafm,9pm,12m,MDT,,
2019-09-17,kafm,9pm,12m,MDT,Out of town ... Guest Host: Kelsey,
2019-09-10,kafm,9pm,12m,MDT,,
2019-09-03,kafm,9pm,12m,MDT,,
2019-08-27,kafm,9pm,12m,MDT,,
2019-08-20,kafm,9pm,12m,MDT,Out of town ... Guest Host: Judy-in-Disguise,
2019-08-13,kafm,9pm,12m,MDT,Out of town ... Guest Host: Kelsey,
2019-08-06,kafm,9pm,12m,MDT,,
2019-07-30,kafm,9pm,12m,MDT,,
2019-07-23,kafm,9pm,12m,MDT,,
2019-07-16,kafm,9pm,12m,MDT,,
2019-07-09,kafm,9pm,12m,MDT,,
2019-07-02,kafm,9pm,12m,MDT,,
2019-06-25,kafm,9pm,12m,MDT,,
2019-06-18,kafm,9pm,12m,MDT,Out of town .... Guest Host: KateA,
2019-06-11,kafm,9pm,12m,MDT,,
2019-06-04,kafm,9pm,12m,MDT,,
2019-05-28,kafm,9pm,12m,MDT,,
2019-05-21,kafm,9pm,12m,MDT,,
2019-05-14,kafm,9pm,12m,MDT,,
2019-05-07,kafm,9pm,12m,MDT,,
2019-04-30,kafm,9pm,12m,MDT,,
2019-04-23,kafm,9pm,12m,MDT,,
2019-04-16,kafm,9pm,12m,MDT,,
2019-04-09,kafm,9pm,12m,MDT,,
2019-04-02,kafm,9pm,12m,MDT,,
2019-03-26,kafm,9pm,12m,MDT,Out of town ... Guest Host: The Padre,
2019-03-19,kafm,9pm,12m,MDT,,
2019-03-12,kafm,9pm,12m,MDT,Membership Drive!,
2019-03-05,kafm,9pm,12m,MDT,,
2019-02-26,kafm,9pm,12m,MDT,,
2019-02-19,kafm,9pm,12m,MDT,,
2019-02-12,kafm,9pm,12m,MDT,,
2019-02-05,kafm,9pm,12m,MDT,,
2019-01-29,kafm,9pm,12m,MDT,,
2019-01-22,kafm,9pm,12m,MDT,,
2019-01-15,kafm,9pm,12m,MDT,,
2019-01-08,kafm,9pm,12m,MDT,,
2019-01-01,kafm,9pm,12m,MDT,,
2018-12-25,kafm,9pm,12m,MDT,,
2018-12-11,kafm,9pm,12m,MDT,,
2018-11-27,kafm,9pm,12m,MDT,,
2018-11-13,kafm,9pm,12m,MDT,,
2018-10-30,kafm,9pm,12m,MDT,,
2018-10-16,kafm,9pm,12m,MDT,,
2018-10-02,kafm,9pm,12m,MDT,,
2018-09-11,kafm,9pm,12m,MDT,trading shows with Ol' Dawg,
2018-09-04,kafm,9pm,12m,MDT,,
2018-08-21,kafm,9pm,12m,MDT,,
2018-08-10,kafm,6am,9am,MDT,hosting The Orbit Lounge,
2018-08-07,kafm,9pm,12m,MDT,,
2018-07-24,kafm,9pm,12m,MDT,,
2018-07-10,kafm,9pm,12m,MDT,,
2018-06-26,kafm,9pm,12m,MDT,,
2018-06-12,kafm,9pm,12m,MDT,,
2018-05-29,kafm,9pm,12m,MDT,,
2018-05-15,kafm,9pm,12m,MDT,,
2018-05-01,kafm,9pm,12m,MDT,,
2018-04-17,kafm,9pm,12m,MDT,,
2018-04-03,kafm,9pm,12m,MDT,,
2018-03-20,kafm,9pm,12m,MDT,,
2018-02-27,kafm,9pm,12m,MST,,
2018-02-20,kafm,9pm,12m,MST,,
2018-02-06,kafm,9pm,12m,MST,,
2018-01-23,kafm,9pm,12m,MST,,
2018-01-09,kafm,9pm,12m,MST,,
2017-12-26,kafm,9pm,12m,MST,,
2017-12-12,kafm,9pm,12m,MST,,
