,special,podcast,podcast_airdate,podcast_sequence,radio_airdate,radio_sequence,song,artist,album,time,notes,break,asin,itunes,source
March 2009,,,,,,,,,,,,,,,
,,,,,2009-03-03,00,,,,,,X,,,wfit
,,,,,2009-03-03,01,Sing Sing Sing It Don’t Mean A Thing,The Nuclear Whales,,,The Krupa Klassic from an all-tuba band,,,,wfit
,,,,,2009-03-03,02,,,,,,X,,,wfit
,,,,,2009-03-03,03,Beatbox,The Jessica Fletchers,,,From Norway!,,,,wfit
,,,,,2009-03-03,04,Wanted,Nortec Collective,,,Tijuana maestros,,,,wfit
,,,,,2009-03-03,05,Start Wearing Purple,Gogol Bordello,,,A classic track if there ever was one,,,,wfit
,,,,,2009-03-03,06,,,,,,X,,,wfit
,,,,,2009-03-03,07,Campus,Vampire Weekend,,,A very hi band ... wonder what’s next,,,,wfit
,,,,,2009-03-03,08,Ha-Ha,Emiliana Torrini,,,Daughter of an Italian restaurateur in Iceland,,,,wfit
,,,,,2009-03-03,09,Kiss Chase,Lush,,,So aptly named,,,,wfit
,,,,,2009-03-03,10,,,,,,X,,,wfit
,,,,,2009-03-03,11,Human Fly,Nouvelle Vague,,,More Human Fly... will we ever get enough No.,,,,wfit
,,,,,2009-03-03,12,Flypaper,Brainiac,,,"From Bonsai Superstar, I believe",,,,wfit
,,,,,2009-03-03,13,I Am A Rasta Man,The Slackers Featuring Chris Murray,,,More Slackers! More Venice Shoreline Chris!,,,,wfit
,,,,,2009-03-03,14,,,,,,X,,,wfit
,,,,,2009-03-03,15,Samba De Uma Nota So,Nara Leao,,,The Brazilian standard,,,,wfit
,,,,,2009-03-03,16,Veins Of The Queen (Royal Mix),Robyn Hitchcock & The Egyptians,,,A very dubby remix,,,,wfit
,,,,,2009-03-03,17,Mardi March,Orville Johnson,,,Positively sizzling,,,,wfit
,,,,,2009-03-03,18,Laura Lee,Patchwork,,,Free album on Amie Street,,,,wfit
,,,,,2009-03-03,19,,,,,,X,,,wfit
,,,,,2009-03-03,20,Showin Me Love,Gangstagrass,,,A real WTF moment on WFIT,,,,wfit
,,,,,2009-03-03,21,Appalachian Death Sigh,Bill Fox,,,This song hurts my hurting heart,,,,wfit
,,,,,2009-03-03,22,For The Mekons et al,Palace Brothers,,,From the ultra cool Hey Drag City compilation,,,,wfit
,,,,,2009-03-03,23,,,,,,X,,,wfit
,,,,,2009-03-03,24,Afflicted,Jennyanykind,,,From the Blues for the Afflicted EP,,,,wfit
,,,,,2009-03-03,25,She's So Sinful,Jennyanykind,,,One on my list of perfect EPs,,,,wfit
,,,,,2009-03-03,26,This Is How It Starts,Swell,,,Moody San Francisco rattle,,,,wfit
,,,,,2009-03-03,27,,,,,,X,,,wfit
,,,,,2009-03-03,28,Stepping Stones,G. Love & Special Sauce,,,"Not the Monkees song, nor the Minor Threat cover",,,,wfit
,,,,,2009-03-03,29,It's Hard To Turn Me On,Quasi,,,"Stately, sombre",,,,wfit
,,,,,2009-03-03,30,When The World Is Running Down (Original Bootleg Mix),differentGear vs The Police,,,Sacrilege? You tell me.,,,,wfit
,,,,,2009-03-03,31,Golden Light,Still Flyin',,,A guilty pleasure,,,,wfit
,,,,,2009-03-03,32,,,,,,X,,,wfit
,,,,,2009-03-03,33,May God Protect Your Home,Hefner,,,To the Librarian!,,,,wfit
,,,,,2009-03-03,34,Neon Beanbag,Stereolab,,,Joyful bubble sounds,,,,wfit
,,,,,2009-03-03,35,Make ME STiNKED,The Flamenco A Go Go,,,Check out the I’m Your Mom video on YouTube,,,,wfit
,,,,,2009-03-03,36,Nosebleed,Illinois,,,"Hey, that sounds like Jack White singing for Gangstagrass",,,,wfit
,,,,,2009-03-03,37,,,,,,X,,,wfit
,,,,,2009-03-03,38,Black Eye,Eat Sugar,,,"That hot Cincinnati sound, unique as their chili",,,,wfit
,,,,,2009-03-03,39,We Can't Help You,Stephen Malkmus & The Jicks,,,"Pavement detritus, still continuing to drift by",,,,wfit
,,,,,2009-03-03,40,The Flute Tune,Push,,,"Ooo, fonky",,,,wfit
,,,,,2009-03-03,41,,,,,,X,,,wfit
,,,,,2009-03-03,42,Insomnia,Drink Me,,,Can’t sleep now.,,,,wfit
,,,,,2009-03-10,00,,,,,,X,,,wfit
,,,,,2009-03-10,01,She's My Best Friend,The Wedding Present,,,"Beautiful Lou Reed song, a perfect match for David Gedge’s voice",,,,wfit
,,,,,2009-03-10,02,,,,,,X,,,wfit
,,,,,2009-03-10,03,Wet Rainbow,Tipsy,,,SF Lounge mixsters,,,,wfit
,,,,,2009-03-10,04,Orange (Acoustic),Metal Molly,,,"A Belgian band, from the aptly-named Tremelo",,,,wfit
,,,,,2009-03-10,05,Little Bell,Young Fresh Fellows,,,Some fabulous sounds from the Pacific Northwest,,,,wfit
,,,,,2009-03-10,06,,,,,,X,,,wfit
,,,,,2009-03-10,07,"Mon dieu, les banlieues (Featuring Laszlo Loco)",Monsieur Leroc,,,"Mais oui, ce’st GERMAN!",,,,wfit
,,,,,2009-03-10,08,"Yeah, It's That Easy",G. Love & Special Sauce,,,"Nice riff, lifted from Fela Kuti",,,,wfit
,,,,,2009-03-10,09,Bellbottoms,The Jon Spencer Blues Explosion,,,Boosexposion! Wif stringses!,,,,wfit
,,,,,2009-03-10,10,Wait (Don't Rush Me),Tony Cook,,,From the European funk scene  formerly with the JBs,,,,wfit
,,,,,2009-03-10,11,,,,,,X,,,wfit
,,,,,2009-03-10,12,The Late Great Cassiopia,The Essex Green,,,pinnacle of neo-psychedelia,,,,wfit
,,,,,2009-03-10,13,I Can't Explain,Coldspot 8,,,Feat. Kyle Jones of the Cook Trio,,,,wfit
,,,,,2009-03-10,14,Vaseline And Sand,Sukia,,,"with members of DJ Me DJ You, love the freaky scene",,,,wfit
,,,,,2009-03-10,15,,,,,,X,,,wfit
,,,,,2009-03-10,16,Come To Daddy (Little Lord Faulteroy Mix),Aphex Twin,,,Genius,,,,wfit
,,,,,2009-03-10,17,Mexican Radio,Polvo,,,Named after Spanish slang for sex,,,,wfit
,,,,,2009-03-10,18,Collegiate Dope Slingaz,All That,,,Tuba heavy on their other tracks,,,,wfit
,,,,,2009-03-10,19,Wack Wack,The Young-Holt Trio,,,Former backing band for Ramsey Lewis,,,,wfit
,,,,,2009-03-10,20,,,,,,X,,,wfit
,,,,,2009-03-10,21,Hey Baby,Mocean Worker,,,Grooving to a fault,,,,wfit
,,,,,2009-03-10,22,Problem,Brazilian Girls,,,Try finding them on Google. I dare you,,,,wfit
,,,,,2009-03-10,23,Shame & Scandal,Madness,,,From their Dangermen concert series,,,,wfit
,,,,,2009-03-10,24,,,,,,X,,,wfit
,,,,,2009-03-10,25,Poop Ship Destroyer,Ween,,,Going out to crazy Nate and Large Harlequin,,,,wfit
,,,,,2009-03-10,26,Rainsong,Mosquitos,,,NYC + Brazil ... from their eponymous debut album,,,,wfit
,,,,,2009-03-10,27,130.5,Subthunk,,,"Chunky, but without the lumps",,,,wfit
,,,,,2009-03-10,28,Hate,Cinerama,,,"So sweet, so spiteful",,,,wfit
,,,,,2009-03-10,29,,,,,,X,,,wfit
,,,,,2009-03-10,30,Level 5 Executive,Sir Millard Mulch,,,From the “How To Sell The Whole F#$%*&ing Universe” Triple Album,,,,wfit
,,,,,2009-03-10,31,Ines,Drink Me,,,The Quietest Rock and Roll Ever Made,,,,wfit
,,,,,2009-03-10,32,Pressure Drop,The Maytals,,,Can’t get enough reggae classics!,,,,wfit
,,,,,2009-03-10,33,Engine Engine #9,Southern Culture On The Skids,,,"A classic of a different stripe, by Roger Miller",,,,wfit
,,,,,2009-03-10,34,,,,,,X,,,wfit
,,,,,2009-03-10,35,Oh Sweet Susanna,The Mooney Suzuki,,,NYC rawk dirt,,,,wfit
,,,,,2009-03-10,36,Tico,Don Swan,,,A song dating back to 1917,,,,wfit
,,,,,2009-03-10,37,"Mellow, Pt. 1",Mellow,,,Fine psychedlia from Rex Essex,,,,wfit
,,,,,2009-03-10,38,,,,,,X,,,wfit
,,,,,2009-03-10,39,Sa Sabine,Les Sans Culottes,,,"Beautiful Sabine’s ham -- if you thought they were French, you are WRONG",,,,wfit
,,,,,2009-03-10,40,Always the Sun (Sunny Side Up Mix),The Stranglers,,,From their Dreamtime album,,,,wfit
,,,,,2009-03-10,41,,,,,,X,,,wfit
,,,,,2009-03-10,42,"Nothing, Nowhere",Quasi,,,This one is by Janet Weiss...,,,,wfit
,,,,,2009-03-17,00,,,,,,X,,,wfit
,,,,,2009-03-17,01,Don't Let Me Wait Too Long,Late BP Helium,,,"One of the Elephant Six dudes, with a George Harrison song",,,,wfit
,,001.QuiverOfGrain,2009-03-28,01,2009-03-17,03,Quiver Of Grain,The Rants,,,Amazing album from this band... more to come,,,,wfit
,,001.QuiverOfGrain,2009-03-28,02,2009-03-17,04,Orange,Metal Molly,,,"After the acoustic version last week, Electric Orange",,,,wfit
,,001.QuiverOfGrain,2009-03-28,03,2009-03-17,05,Slow Bus A-Movin' (Howard's Beach Party),Fishbone,,,From the Tapeheads soundtrack,,,,wfit
,,001.QuiverOfGrain,2009-03-28,04,2009-03-17,06,Shake It Up,Nortec Collective,,,Tijuana DJ ninjas,,,,wfit
,,001.QuiverOfGrain,2009-03-28,05,2009-03-17,07,,,,,,X,,,wfit
,,001.QuiverOfGrain,2009-03-28,06,2009-03-17,08,C'mon Do The Laika,Laika & The Cosmonauts,,,Finest surf band in Finland,,,,wfit
,,001.QuiverOfGrain,2009-03-28,07,2009-03-17,09,London,Noonday Underground,,,Swinging stringbeat,,,,wfit
,,001.QuiverOfGrain,2009-03-28,08,2009-03-17,10,Hings Of The Hill,Boogie Balagan,,,A band of confusing provenance,,,,wfit
,,001.QuiverOfGrain,2009-03-28,09,2009-03-17,11,This Is Home,Brother Big Bad,,,Thumpa thumpa,,,,wfit
,,001.QuiverOfGrain,2009-03-28,10,2009-03-17,12,,,,,,X,,,wfit
,,001.QuiverOfGrain,2009-03-28,11,2009-03-17,13,The Wait,Brother Bean,,,Live in the studio,,,,wfit
,,001.QuiverOfGrain,2009-03-28,12,2009-03-17,14,Tomorrow Song,Brother Bean,,,Live at Skipper’s Smokehouse,,,,wfit
,,001.QuiverOfGrain,2009-03-28,13,2009-03-17,15,Yo Mama,Brother Bean,,,Live in the studio,,,,wfit
,,001.QuiverOfGrain,2009-03-28,14,2009-03-17,16,All Good,Brother Bean,,,Live in the studio,,,,wfit
,,,,,2009-03-17,17,,,,,,X,,,wfit
,,002.QueOndaGuero,2009-03-31,01,2009-03-17,18,Qué Onda Guero (Remix by Islands),Beck,,,Is that the Islands with the guy from the Unicorns?,,,,wfit
,,002.QueOndaGuero,2009-03-31,02,2009-03-17,19,Kenny Rogers Tune,The Nerd Parade,,,"Weird pop, and you know I like weird pop",,,,wfit
,,002.QueOndaGuero,2009-03-31,03,2009-03-17,20,I Feel It All,Feist,,,"Dulcet tones, what else can I say",,,,wfit
,,002.QueOndaGuero,2009-03-31,04,2009-03-17,21,Decision At Midnight,The Toasters,,,Classic Toasters,,,,wfit
,,002.QueOndaGuero,2009-03-31,05,2009-03-17,22,,,,,,X,,,wfit
,,002.QueOndaGuero,2009-03-31,06,2009-03-17,23,115,Muchachito Bombo Infierno,,,From Barcelona,,,,wfit
,,002.QueOndaGuero,2009-03-31,07,2009-03-17,24,3's & 7's,Queens Of The Stone Age,,,From the deserts of California,,,,wfit
,,002.QueOndaGuero,2009-03-31,08,2009-03-17,25,43,The Monolith,,,Drowning in honey,,,,wfit
,,002.QueOndaGuero,2009-03-31,09,2009-03-17,26,,,,,,X,,,wfit
,,002.QueOndaGuero,2009-03-31,10,2009-03-17,27,Helium,Einstürzende Neubauten,,,Pioneers of mental assault,,,,wfit
,,002.QueOndaGuero,2009-03-31,11,2009-03-17,28,Diamonds On My Belly,Hafdis Huld,,,From Iceland and Gus Gus,,,,wfit
,,002.QueOndaGuero,2009-03-31,12,2009-03-17,29,Mark Price P.I.,Archers Of Loaf,,,An obscure cut from the Lounge Ax compilation,,,,wfit
,,002.QueOndaGuero,2009-03-31,13,2009-03-17,30,Watch Your Girl,Mood Elevator,,,Detroit suergroup!,,,,wfit
,,002.QueOndaGuero,2009-03-31,14,2009-03-17,31,,,,,,X,,,wfit
,,002.QueOndaGuero,2009-03-31,15,2009-03-17,32,Ona Stacka Bibles,Charlie Chesterman,,,Exploding out of Central Iowa!,,,,wfit
,,002.QueOndaGuero,2009-03-31,16,2009-03-17,33,Shampoo,Elvis Perkins In Dearland,,,Featuring the mysterious Elvis Perkins,,,,wfit
,,002.QueOndaGuero,2009-03-31,17,2009-03-17,34,Happiness,Lisa Germano,,,From the former violinist for John Mellencam,,,,wfit
,,002.QueOndaGuero,2009-03-31,18,2009-03-17,35,,,,,,X,,,wfit
,,002.QueOndaGuero,2009-03-31,19,2009-03-17,36,La Guitaristic House Organisation,Rinôçerôse,,,French minimalism to close things out,,,,wfit
,,,,,2009-03-24,00,,,,,,X,,,wfit
,,003.IGotAMessageForYou,2009-04-04,21,2009-03-24,01,Beethoven Song,Little Jack Melody + His Young Turks,,,From Beethoven... or A Clockwork Orange,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,20,2009-03-24,02,,,,,,X,,,wfit
,,003.IGotAMessageForYou,2009-04-04,01,2009-03-24,03,I Got A Message For You,Robyn Hitchcock,,,A good lace to start,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,02,2009-03-24,04,Hey,Elvis Perkins In Dearland,,,This haunts me,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,03,2009-03-24,05,Bigfoot,The Legendary Jim Ruiz Group,,,Love that big beat,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,04,2009-03-24,06,,,,,,X,,,wfit
,,003.IGotAMessageForYou,2009-04-04,05,2009-03-24,07,Good Voodoo,The Teenage Players,,,Rawkin’  from NYC,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,06,2009-03-24,08,Moscow Fever,Slonovski Bal,,,Some Balkan ska for you,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,07,2009-03-24,09,I Could Get Used To You,The Red Button,,,Yummy jangle,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,08,2009-03-24,10,,,,,,X,,,wfit
,,003.IGotAMessageForYou,2009-04-04,09,2009-03-24,11,Green And Yellow Daughter,Tal Ross,,,"Dee funk roots, this one",,,,wfit
,,003.IGotAMessageForYou,2009-04-04,10,2009-03-24,12,My Moon My Man,Feist,,,"Yes, Feist from the iod ad",,,,wfit
,,003.IGotAMessageForYou,2009-04-04,11,2009-03-24,13,Stare To The Sun,Boys & Girls,,,Delicious grinding sound,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,12,2009-03-24,14,,,,,,X,,,wfit
,,003.IGotAMessageForYou,2009-04-04,13,2009-03-24,15,Take It Away,LMNOP,,,The musical side of Baby Sue magazine,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,14,2009-03-24,16,Re-Format,MOTOR,,,Digital inexorable madness,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,15,2009-03-24,17,Haven't I Been A Fool,G.W. Mclennan,,,From the Go Betweens,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,16,2009-03-24,18,,,,,,X,,,wfit
,,003.IGotAMessageForYou,2009-04-04,17,2009-03-24,19,Who Loves The Sun,The Velvet Underground,,,What an amazing bridge,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,18,2009-03-24,20,Birthday In Beijing,Ral Partha Vogelbacher,,,The name of Chadwick Bidwell,,,,wfit
,,003.IGotAMessageForYou,2009-04-04,19,2009-03-24,21,Fantastic Voyage,Takako Minekawa,,,What is it about this medicine must be Jaanese,,,,wfit
,,,,,2009-03-24,22,,,,,,X,,,wfit
,,004.MyHeartBeats,2009-04-07,01,2009-03-24,23,My Heart Beats,Hafdis Huld,,,Icelandic elven princess,,,,wfit
,,004.MyHeartBeats,2009-04-07,02,2009-03-24,24,Blame It on Cain,Elvis Costello,,,"From My Aim Is True, which should be in everyone’s collection",,,,wfit
,,004.MyHeartBeats,2009-04-07,03,2009-03-24,25,"Green Haze, Pt. 1 & 2",Elvis Hitler,,,Going out to Costner,,,,wfit
,,004.MyHeartBeats,2009-04-07,04,2009-03-24,26,,,,,,X,,,wfit
,,004.MyHeartBeats,2009-04-07,05,2009-03-24,27,World Full of Cops,Paleface,,,Hear ye hear ye,,,,wfit
,,004.MyHeartBeats,2009-04-07,06,2009-03-24,28,Bad Thirds,Green Goblyn Project,,,Brevard’s own unk nighmare,,,,wfit
,,004.MyHeartBeats,2009-04-07,07,2009-03-24,29,Bad Day,Illinois,,,"Heavy sounds, fit the mood",,,,wfit
,,004.MyHeartBeats,2009-04-07,08,2009-03-24,30,,,,,,X,,,wfit
,,004.MyHeartBeats,2009-04-07,09,2009-03-24,31,Now We're Six,SSM,,,"Don’t know what that is, but it’s not “garage unk” as the wikiedias claim",,,,wfit
,,004.MyHeartBeats,2009-04-07,10,2009-03-24,32,Über Legitimate,Mates Of State,,,One of the loudest duos ever,,,,wfit
,,004.MyHeartBeats,2009-04-07,11,2009-03-24,33,Saturday Night Party,Tomandandy,,,From the Rules of Attraction soundtrack,,,,wfit
,,004.MyHeartBeats,2009-04-07,12,2009-03-24,34,,,,,,X,,,wfit
,,004.MyHeartBeats,2009-04-07,13,2009-03-24,35,Mondo A Go-Go!,Eat Static,,,Quick furniture endangerment from this Ozric Tentacles offshoot,,,,wfit
,,004.MyHeartBeats,2009-04-07,14,2009-03-24,36,Smedley,The Nerd Parade,,,Atlanta five iece,,,,wfit
,,004.MyHeartBeats,2009-04-07,15,2009-03-24,37,Stepkids In Love,Switches,,,"Go out on a limb for you, dear listeners",,,,wfit
,,004.MyHeartBeats,2009-04-07,16,2009-03-24,38,,,,,,X,,,wfit
,,004.MyHeartBeats,2009-04-07,17,2009-03-24,39,Prophets,Supersystem,,,With a edigree on Dischord and Touch and Go records,,,,wfit
,,004.MyHeartBeats,2009-04-07,18,2009-03-24,40,Watertank,White Hassle,,,Currently “on hiatus”,,,,wfit
,,004.MyHeartBeats,2009-04-07,19,2009-03-24,41,This Fall. Last Fall.,The Rants,,,The mystery rants... which ones are they?,,,,wfit
,,004.MyHeartBeats,2009-04-07,20,2009-03-24,42,,,,,,X,,,wfit
,,004.MyHeartBeats,2009-04-07,21,2009-03-24,43,Vive Solo,Juana Molina,,,From Argentina and Paris,,,,wfit
,,,,,2009-03-31,00,,,,,,X,,,wfit
,,005.Tortapapir,2009-04-11,14,2009-03-31,01,Moondance.,Sirconical,,,More minimalist than Van’s version,,,,wfit
,,005.Tortapapir,2009-04-11,13,2009-03-31,02,,,,,,X,,,wfit
,,005.Tortapapir,2009-04-11,01,2009-03-31,03,Tortapapír,Besh o drom,,,Balkan Madness Ahoy!,,,,wfit
,,005.Tortapapir,2009-04-11,02,2009-03-31,04,Ghost Town,The Specials,,,Spooky sounds,,,,wfit
,,005.Tortapapir,2009-04-11,03,2009-03-31,05,First Time Again,Everthus The Deadbeats,,,What are they thinking?,,,,wfit
,,005.Tortapapir,2009-04-11,04,2009-03-31,06,,,,,,X,,,wfit
,,005.Tortapapir,2009-04-11,05,2009-03-31,07,Showtime,Bob Log III,,,One man thunderdome,,,,wfit
,,005.Tortapapir,2009-04-11,06,2009-03-31,08,Voce Gosta?,Tom Zé,,,Brazilian experimentalismo,,,,wfit
,,005.Tortapapir,2009-04-11,07,2009-03-31,09,Desperate Tonight,Five Eight,,,Brutal song from this Atlanta trio,,,,wfit
,,005.Tortapapir,2009-04-11,08,2009-03-31,10,Pumping Iron For Enya,Atom & His Package,,,"O Atom... we miss you. Package, too.",,,,wfit
,,005.Tortapapir,2009-04-11,09,2009-03-31,11,,,,,,X,,,wfit
,,005.Tortapapir,2009-04-11,10,2009-03-31,12,Never Had Nobody Like You,M. Ward,,,"English Blues, todaystyle",,,,wfit
,,005.Tortapapir,2009-04-11,11,2009-03-31,13,Supermarket One,P:iano,,,"A punctuation band, but I forgive them. Unlike Google",,,,wfit
,,005.Tortapapir,2009-04-11,12,2009-03-31,14,Got To Get A Knutt,New Birth,,,Suggestive,,,,wfit
,,,,,2009-03-31,15,,,,,,X,,,wfit
,,006.ImYourMom,2009-04-14,01,2009-03-31,16,I’m Your Mom,The Flamenco A Go Go,,,A personal favorite,,,,wfit
,,006.ImYourMom,2009-04-14,04,2009-03-31,17,,,,,,X,,,wfit
,,006.ImYourMom,2009-04-14,02,2009-03-31,18,Ain't No Good,Cake,,,Old cake is still good cake,,,,wfit
,,006.ImYourMom,2009-04-14,03,2009-03-31,19,Come Dancing,The Kinks,,,Feelin’ Kinky ... from 1983,,,,wfit
,,006.ImYourMom,2009-04-14,05,2009-03-31,20,Rainy Day,Keller Williams,,,Another one man band,,,,wfit
,,006.ImYourMom,2009-04-14,06,2009-03-31,21,Picture Book,The Young Fresh Fellows,,,The Kinks of the Pacific Northwest,,,,wfit
,,006.ImYourMom,2009-04-14,08,2009-03-31,22,,,,,,X,,,wfit
,,006.ImYourMom,2009-04-14,07,2009-03-31,23,M.F.P.D.A.,Mexican Institute Of Sound,,,What could MFDA possibly stand for?,,,,wfit
,,006.ImYourMom,2009-04-14,09,2009-03-31,24,Paper Kitten Nightmare,Margot and the Nuclear So And Sos,,,Named after Gwyneth Paltrow’s character in the Royal Tennenbaums,,,,wfit
,,006.ImYourMom,2009-04-14,10,2009-03-31,25,Jackie,Bossa Nostra,,,Italian Jazz masters,,,,wfit
,,006.ImYourMom,2009-04-14,13,2009-03-31,26,,,,,,X,,,wfit
,,006.ImYourMom,2009-04-14,11,2009-03-31,27,Barney Rubble Is My Double,The Evaporators,,,Avec Narduwar!,,,,wfit
,,006.ImYourMom,2009-04-14,12,2009-03-31,28,Mahna Mahna,Mahna Mahna & The Two Snowths,,,Remember?,,,,wfit
,,006.ImYourMom,2009-04-14,14,2009-03-31,29,Mango Cool,Los Amigos Invisibles,,,Venezuelan space jazz,,,,wfit
,,006.ImYourMom,2009-04-14,15,2009-03-31,30,PVC,Metal Molly,,,For Russ and Rauzeberry,,,,wfit
,,006.ImYourMom,2009-04-14,16,2009-03-31,31,54 46 Was My Number,Toots and the Maytals,,,Pick a number,,,,wfit
,,006.ImYourMom,2009-04-14,17,2009-03-31,32,,,,,,X,,,wfit
,,006.ImYourMom,2009-04-14,18,2009-03-31,33,The Hotel Family Affair,Lusk,,,Ominous Tool side project,,,,wfit
April 2009,,,,,,,,,,,,,,,
,,,,,2009-04-07,00,,,,,,X,,,wfit
,,007.HowDoYouWorkThisThing,2009-04-18,22,2009-04-07,01,Dancing Queen,Milo Binder,,,A thoughtful rendition of a song originally by ABBA,,,,wfit
,,007.HowDoYouWorkThisThing,2009-04-18,21,2009-04-07,02,,,,,,X,,,wfit
